,data_mes,satelite,bioma,qtd
110,2013-10-01,AQUA_M-T,Caatinga,2164
111,2013-10-01,AQUA_M-T,Cerrado,7696
112,2013-10-01,AQUA_M-T,Mata Atlântica,1454
113,2013-10-01,AQUA_M-T,Pampa,59
114,2013-10-01,AQUA_M-T,Pantanal,544
115,2013-10-01,NPP-375,Amazônia,58915
116,2013-10-01,NPP-375,Caatinga,15437
117,2013-10-01,NPP-375,Cerrado,72862
118,2013-10-01,NPP-375,Mata Atlântica,9532
119,2013-10-01,NPP-375,Pampa,358
120,2013-10-01,NPP-375,Pantanal,5072
121,2013-11-01,AQUA_M-T,Amazônia,6615
122,2013-11-01,AQUA_M-T,Caatinga,1889
123,2013-11-01,AQUA_M-T,Cerrado,2370
124,2013-11-01,AQUA_M-T,Mata Atlântica,509
125,2013-11-01,AQUA_M-T,Pampa,59
126,2013-11-01,AQUA_M-T,Pantanal,513
127,2013-11-01,NPP-375,Amazônia,31731
128,2013-11-01,NPP-375,Caatinga,10859
129,2013-11-01,NPP-375,Cerrado,15852
130,2013-11-01,NPP-375,Mata Atlântica,6416
131,2013-11-01,NPP-375,Pampa,263
132,2013-11-01,NPP-375,Pantanal,4910
133,2013-12-01,AQUA_M-T,Amazônia,8013
134,2013-12-01,AQUA_M-T,Caatinga,1567
135,2013-12-01,AQUA_M-T,Cerrado,1579
136,2013-12-01,AQUA_M-T,Mata Atlântica,506
137,2013-12-01,AQUA_M-T,Pampa,27
138,2013-12-01,AQUA_M-T,Pantanal,176
139,2013-12-01,NPP-375,Amazônia,41943
140,2013-12-01,NPP-375,Caatinga,8199
141,2013-12-01,NPP-375,Cerrado,8043
142,2013-12-01,NPP-375,Mata Atlântica,3868
143,2013-12-01,NPP-375,Pampa,443
144,2013-12-01,NPP-375,Pantanal,2280
145,2014-01-01,AQUA_M-T,Amazônia,1573
146,2014-01-01,AQUA_M-T,Caatinga,360
147,2014-01-01,AQUA_M-T,Cerrado,567
148,2014-01-01,AQUA_M-T,Mata Atlântica,423
149,2014-01-01,AQUA_M-T,Pampa,19
150,2014-01-01,AQUA_M-T,Pantanal,103
151,2014-01-01,NPP-375,Amazônia,10391
152,2014-01-01,NPP-375,Caatinga,3657
153,2014-01-01,NPP-375,Cerrado,4332
154,2014-01-01,NPP-375,Mata Atlântica,4238
155,2014-01-01,NPP-375,Pampa,207
156,2014-01-01,NPP-375,Pantanal,618
157,2014-02-01,AQUA_M-T,Amazônia,473
158,2014-02-01,AQUA_M-T,Caatinga,68
159,2014-02-01,AQUA_M-T,Cerrado,315
160,2014-02-01,AQUA_M-T,Mata Atlântica,437
161,2014-02-01,AQUA_M-T,Pampa,17
162,2014-02-01,AQUA_M-T,Pantanal,64
163,2014-02-01,NPP-375,Amazônia,2878
164,2014-02-01,NPP-375,Caatinga,1054
165,2014-02-01,NPP-375,Cerrado,2597
166,2014-02-01,NPP-375,Mata Atlântica,5149
167,2014-02-01,NPP-375,Pampa,157
168,2014-02-01,NPP-375,Pantanal,502
169,2014-03-01,AQUA_M-T,Amazônia,1010
170,2014-03-01,AQUA_M-T,Caatinga,104
171,2014-03-01,AQUA_M-T,Cerrado,497
172,2014-03-01,AQUA_M-T,Mata Atlântica,256
173,2014-03-01,AQUA_M-T,Pampa,39
174,2014-03-01,AQUA_M-T,Pantanal,23
175,2014-03-01,NPP-375,Amazônia,5912
176,2014-03-01,NPP-375,Caatinga,1139
177,2014-03-01,NPP-375,Cerrado,1896
178,2014-03-01,NPP-375,Mata Atlântica,2777
179,2014-03-01,NPP-375,Pampa,286
180,2014-03-01,NPP-375,Pantanal,103
181,2014-03-01,NPP-375,,3
182,2014-04-01,AQUA_M-T,Amazônia,632
183,2014-04-01,AQUA_M-T,Caatinga,73
184,2014-04-01,AQUA_M-T,Cerrado,897
185,2014-04-01,AQUA_M-T,Mata Atlântica,317
